var1 var2 fst pval
NMNL NMNL 0 0
MENO NMNL 0 0
WTFB NMNL 0 0.27314
BBDN NMNL 0 0.00158
PSTG NMNL 0.00049 0
FOXR NMNL 0.00322 0
IGPT NMNL 0.00853 0
EPFT NMNL 0.00105 0
NAUB NMNL 0.00026 0
MNST NMNL 0 0
EKRP NMNL 0.00663 0
MSKG NMNL 0.00711 0
GOOD NMNL 0.00292 0
LTTV NMNL 0.01005 0
CXVL NMNL 0.00212 0
LSRF NMNL 0.00011 0
RILY NMNL 0.00461 0
NMNL MENO 0 0
MENO MENO 0 0
WTFB MENO 0 1e-04
BBDN MENO 0.00063 0
PSTG MENO 0 0.00188
FOXR MENO 0.00097 0
IGPT MENO 0.00823 0
EPFT MENO 0.00103 0
NAUB MENO 0.00033 0
MNST MENO 0.00077 0
EKRP MENO 0.00644 0
MSKG MENO 0.00655 0
GOOD MENO 0.00247 0
LTTV MENO 0.01051 0
CXVL MENO 0.00235 0
LSRF MENO 0 0.45649
RILY MENO 0.00231 0
NMNL WTFB 0 0.27314
MENO WTFB 0 1e-04
WTFB WTFB 0 0
BBDN WTFB 0 0.00624
PSTG WTFB 0 0.00426
FOXR WTFB 0.00301 0
IGPT WTFB 0.0073 0
EPFT WTFB 0.00097 0
NAUB WTFB 9e-05 0
MNST WTFB 0 0.00129
EKRP WTFB 0.00475 0
MSKG WTFB 0.00635 0
GOOD WTFB 0.00199 0
LTTV WTFB 0.0087 0
CXVL WTFB 0.00168 0
LSRF WTFB 0 1e-04
RILY WTFB 0.00334 0
NMNL BBDN 0 0.00158
MENO BBDN 0.00063 0
WTFB BBDN 0 0.00624
BBDN BBDN 0 0
PSTG BBDN 0.00043 0.00366
FOXR BBDN 0.00421 0
IGPT BBDN 0.00913 0
EPFT BBDN 0.00171 0
NAUB BBDN 0.00075 0
MNST BBDN 0 0.03247
EKRP BBDN 0.00647 0
MSKG BBDN 0.00669 0
GOOD BBDN 0.00341 0
LTTV BBDN 0.00999 0
CXVL BBDN 0.00218 0
LSRF BBDN 0.00048 0
RILY BBDN 0.00522 0
NMNL PSTG 0.00049 0
MENO PSTG 0 0.00188
WTFB PSTG 0 0.00426
BBDN PSTG 0.00043 0.00366
PSTG PSTG 0 0
FOXR PSTG 4e-05 0.00743
IGPT PSTG 0.01006 0
EPFT PSTG 0.00211 0
NAUB PSTG 0.00439 1e-04
MNST PSTG 0.00089 2e-04
EKRP PSTG 0.00556 0
MSKG PSTG 0.00638 0
GOOD PSTG 0.00061 3e-04
LTTV PSTG 0.00573 1e-04
CXVL PSTG 0.00435 0
LSRF PSTG 0.00189 1e-04
RILY PSTG 0.002 0.00089
NMNL FOXR 0.00322 0
MENO FOXR 0.00097 0
WTFB FOXR 0.00301 0
BBDN FOXR 0.00421 0
PSTG FOXR 4e-05 0.00743
FOXR FOXR 0 0
IGPT FOXR 0.01 0
EPFT FOXR 0.00431 0
NAUB FOXR 0.00332 0
MNST FOXR 0.00368 0
EKRP FOXR 0.00766 0
MSKG FOXR 0.00882 0
GOOD FOXR 0.00419 0
LTTV FOXR 0.01153 0
CXVL FOXR 0.00571 0
LSRF FOXR 0.00019 1e-04
RILY FOXR 0.00158 2e-04
NMNL IGPT 0.00853 0
