pop1 pop2 pwfst ci_ll ci_ul p
MENO NMNL 0.0208143265743543 0.0161981257989221 0.0286251152759476 S
WTFB NMNL 0 -0.00295754640935777 0.00424637462324705 NS
BBDN NMNL 0.00335186983622927 -0.00463984749882097 -0.00254566916233544 NS
PSTG NMNL 0 -0.0177519448687773 0.0246722904775221 NS
FOXR NMNL 0.0347162613484079 0.00479574923096095 0.0164573876872698 S
IGPT NMNL 0.312142807466682 0.178693467363616 0.226011650977153 S
EPFT NMNL 0.0318414788942617 -0.00478831558625156 0.0051066382549181 NS
NAUB NMNL 0.0349329351533399 -0.00419811209051493 0.00455307226322815 NS
MNST NMNL 0 -0.00717937761297238 -0.00276439500076137 NS
EKRP NMNL 0.20590196772913 0.0332536753876343 0.0817992572471439 S
MSKG NMNL 0.00517420752395031 0.00437355426311006 0.0264167143064649 S
GOOD NMNL 0.0475420939466602 -0.0145290799857383 -0.0102572118164671 NS
LTTV NMNL 0.0292627306873473 -0.0056802602347078 0.0213623595680644 NS
CXVL NMNL 0.0348535138123958 -0.00334135777458247 0.0130059107425407 NS
LSRF NMNL 0.0473334833395179 0.00273285315568011 0.0168370849833642 S
RILY NMNL 0.12655185106584 0.0234592468741207 0.0739872320954249 S
NMNL MENO 0.0208143265743543 0.0161981257989221 0.0286251152759476 S
WTFB MENO 0.00917187158737252 -0.00246952756429757 0.00790277760183272 NS
BBDN MENO 0.0391434582978097 0.0173815116116629 0.0335116953333568 S
PSTG MENO 0.00086390303523544 0.0541923232417088 0.174175156792187 S
FOXR MENO 0.000331574322062395 0.0548617543741054 0.0826243566104165 S
IGPT MENO 0.178602499638504 0.320044255733541 0.378857928115162 S
EPFT MENO 0 0.0352413389301295 0.0753056721592237 S
NAUB MENO 0 0.0471435579613552 0.0768538229873632 S
MNST MENO 0.0116060647402454 0.00540788376747672 0.0234415618988008 S
EKRP MENO 0.0768747180041925 0.145766134164954 0.233724431368106 S
MSKG MENO 0.0459927733099323 -0.00279430692739799 0.00580400393834618 NS
GOOD MENO 0 0.0185758288246386 0.0551584945967759 S
LTTV MENO 0.0117190171782415 0.0190863341027973 0.0936325907927011 S
CXVL MENO 0.00112196311952056 0.0410244661768533 0.0969001820602614 S
LSRF MENO 0.000983469288774649 0.0658454251795451 0.0910838055496678 S
RILY MENO 0.0221046000277309 0.132740415755772 0.231473635679416 S
NMNL WTFB 0 -0.00295754640935777 0.00424637462324705 NS
MENO WTFB 0.00917187158737252 -0.00246952756429757 0.00790277760183272 NS
BBDN WTFB 0.00422462307848501 -0.00317184135962027 0.00870399332035153 NS
PSTG WTFB 0 0.0052576120983983 0.062588808557802 S
FOXR WTFB 0.0226685388088868 0.0215700440926404 0.0364154977304779 S
IGPT WTFB 0.251043018441151 0.210808310444075 0.257728907122696 S
EPFT WTFB 0.0163682738481836 0.00414620221290234 0.0256377088677773 S
NAUB WTFB 0.0178322164211184 0.00712212258368474 0.0305872683819244 S
MNST WTFB 0 -0.00791920741928562 0.000635405966170132 NS
EKRP WTFB 0.157968364322013 0.0649317950842162 0.143597702596792 S
MSKG WTFB 0.0102964434517796 -0.00910693761276194 0.00664938967299809 NS
GOOD WTFB 0.0295318540668068 -0.0109108638060593 0.00747197611273514 NS
LTTV WTFB 0.016148191838037 -0.00309937559359661 0.0541049504613901 NS
CXVL WTFB 0.0200667477645908 0.00675045646068018 0.0437482686581369 S
LSRF WTFB 0.0272571580970684 0.0207772905881544 0.0409236352451456 S
RILY WTFB 0.0870706606896933 0.0596734120722603 0.121266677069746 S
NMNL BBDN 0.00335186983622927 -0.00463984749882097 -0.00254566916233544 NS
MENO BBDN 0.0391434582978097 0.0173815116116629 0.0335116953333568 S
WTFB BBDN 0.00422462307848501 -0.00317184135962027 0.00870399332035153 NS
PSTG BBDN 0 -0.0194227750261596 0.0192007128268256 NS
FOXR BBDN 0.0592449058005595 0.00338367693008794 0.0116734620678492 S
IGPT BBDN 0.353077909963607 0.168057378799952 0.207960211287177 S
EPFT BBDN 0.0602810477054834 -0.00557698339373888 0.00178563115336293 NS
NAUB BBDN 0.0665719974425049 -0.0053709257277984 0.0111977076581104 NS
MNST BBDN 0.00310176606001856 -0.00678720370424577 -0.00255163553069006 NS
EKRP BBDN 0.264280566803594 0.0249743031412663 0.0826390720357002 S
MSKG BBDN 0.000660643677313533 0.00565635390726642 0.0295468803092139 S
GOOD BBDN 0.0958363701265086 -0.0160070370028306 -0.0114756346766355 NS
LTTV BBDN 0.0609703257501088 -0.00624451704772355 0.0196446668925026 NS
