MENO WTFB RILY NMNL FOXR BBDN PSTG MSKG GOOD MNST EKRP LSRF IGPT NAUB EPFT CXVL LTTV
MENO 0 89 33 67 70 90 20 304 122 118 172 30 149 157 172 173 171
WTFB 89 0 101 23 146 98 95 218 87 123 149 97 126 159 164 150 148
RILY 33 101 0 79 46 108 16 316 134 136 185 4 162 175 184 185 183
NMNL 67 23 79 0 124 75 73 238 73 100 136 75 113 136 141 136 134
FOXR 70 146 46 124 0 153 51 361 179 181 229 50 206 219 229 230 228
BBDN 90 98 108 75 153 0 102 311 102 63 146 104 122 105 120 121 122
PSTG 20 95 16 73 51 102 0 310 128 131 179 15 156 169 179 179 177
MSKG 304 218 316 238 361 311 310 0 219 321 283 312 260 328 330 298 281
GOOD 122 87 134 73 179 102 128 219 0 112 64 130 41 115 111 80 63
MNST 118 123 136 100 181 63 131 321 112 0 138 132 115 53 68 83 101
EKRP 172 149 185 136 229 146 179 283 64 138 0 181 24 141 131 89 71
LSRF 30 97 4 75 50 104 15 312 130 132 181 0 158 171 180 181 179
IGPT 149 126 162 113 206 122 156 260 41 115 24 158 0 117 107 69 51
NAUB 157 159 175 136 219 105 169 328 115 53 141 171 117 0 18 58 88
EPFT 172 164 184 141 229 120 179 330 111 68 131 180 107 18 0 48 78
CXVL 173 150 185 136 230 121 179 298 80 83 89 181 69 58 48 0 32
LTTV 171 148 183 134 228 122 177 281 63 101 71 179 51 88 78 32 0
